quantity,value,protocol,source (relative to <workspace>/private-repo unless absolute)
row4 success pickcube/liftpeg/peg/stack/push (gmpc_s0),.715/.969/.316/.8125/1.000 (mean .7625),N=256 seed 999 final,paper_results/row4_mt5_rcfz_gmpc_s0_nc_999.json (per_task)
row3 success pickcube/liftpeg/peg/stack/push (gmpc_s0 true goal),.9375/.96875/.37109375/.8828125/1.000 (mean .832),N=256 seed 999 final no --goal-delta (privileged ground truth),paper_results/row3_mt5_rcfz_gmpc_s0_999.json (per_task)
row4 success pickcube/liftpeg/peg/stack/push (gmpc_s0) seed 997,.7109/.9727/.3242/.8672/1.000,N=256 seed 997 final,paper_results/row4_mt5_rcfz_gmpc_s0_nc_997.json (per_task)
row4 success pickcube/liftpeg/peg/stack/push (gmpc_s0) seed 998,.6836/.9492/.2695/.8086/1.000,N=256 seed 998 final,paper_results/row4_mt5_rcfz_gmpc_s0_nc_998.json (per_task)
row6 trk success,.691/.496/.320/.727/.996,N=256 seed 999 CoTracker3 v3 params,paper_results/row6_<task>_trk_gmpc_999.json
row6 dead-reckoning success,.656/.398/.250/.680/.992,same,paper_results/row6_<task>_dr_gmpc_999.json
teacher v9 clean,.973/.887/.957/.977/.992 (mean .957),N=256 seed 999,paper_data/EXPDUMP_20260901.md:432 (<private-repo>/experiments/20260901_dnoise/tev*.log)
official PPO peg,0.116 +- 0.051,3 seeds clearance 0.01,docs/PLAN_TWO_PAPERS_20260830.md §2 (results/refppo)
student config (params 804002; 40k it; 320 envs; lr 3e-4; d128 L4 H4),-,-,runs_rl/mt5_rcfz_gmpc_s0/run.json
planner training configs,epochs 15/8/8; lr 1.5e-4; batch 8,-,runs/{mix4_realcam_n2400,mix5_t2k_n3000,mix5_t2k_gmap}/run.json
backbone architecture,DINOv3 L/16; SigLIP B/16-384; T5-base; 6 layers 12 heads d768,-,<workspace>/TraceGen/cfg/eval.yaml
T2K head dims and loss weights,hidden 256; 8-head xattn; K_MAX 4; N_SEG 3; W=0.3; gmap 0.3,-,msgen/patch_t2k.py:31;145-201;337-339
goal-map label v1 (6 cm ball fraction),-,trained 09-04,msgen/labels_t2k.py:36-41 (comment) ; v2 Gaussian at :42-46
readout v1/v3/v5/v10; gate 12 cm; band; sigma 6 cm,-,-,real-robot deployment code (not released)
goal error table (all cells of Table II),see goal_table.json,256 scenes per seed,evidence/goal_table.json (P = fraction of scenes with terminal error below the per-task tolerance of tools/t2k_decode.py)
episode-constant fraction,.776/.908/.879 (999); .765/.884/.835 (997); within-scene rms 22.0/14.7/18.5 mm,K=4 decomposition,docs/PLAN_TWO_PAPERS_20260830.md §2.1
K aggregation null; oracle 9-10 mm,-,4 tasks x 9 seeds,<private-repo>/experiments/20260830_uncert/RESULTS.md §A1
head K=4 fusion null 34.2->34.6,-,-,<private-repo>/experiments/20260906_probes/
