path,sha256,size_bytes,mtime,role,producing run / log
<private-repo>/runs/mix4_realcam_n2400/ckpt/20260827_011014/final_model.pth,b4cdcb72e16e5fb9fdfbc813abbb9ddb11d0ad3784f1a283e5fe4708484bedb3,3298366981,2026-08-27 17:27:05,"planner: rigid-solve source (K=4 kmean_ransac and K=1 k1ransac banks for pick/lift/peg/stack; rotation source of the t2kpos banks); warm start of mix5_t2k_n3000 and mix5_t2k_gmap","runs/mix4_realcam_n2400/run.json (no provenance/git field); runs/mix4_realcam_n2400/train.log; launcher <private-repo>/experiments/20260827_realcam/c2_train.sh (msgen.run_train --epochs 15 --batch-size 8 --lr-decoder 1.5e-4); dataset data/ds/realcam_n2400"
<private-repo>/runs/mix5_t2k_n3000/ckpt/20260831_033356/final_model.pth,945a49742472d68c85e6a84d997b1eec15546e0abd11cb5c5cb438f327c2ed5f,3334993277,2026-08-31 12:14:29,"planner: T2K entity head (t2kpos banks = Entity-Level Readout row; lift/peg/push final chain; pushcube K=4/K=1 solve source)","runs/mix5_t2k_n3000/run.json provenance (argv, git ba7de4d2af700d4d4f02a8d2c2f8f8d350751108, env MSGEN_T2K=1 MSGEN_T2K_W=0.3); runs/mix5_t2k_n3000/patches.json; runs/mix5_t2k_n3000/train.log; dataset data/ds/realcam_t2k_n3000"
<private-repo>/runs/mix5_t2k_gmap/ckpt/20260904_200237/final_model.pth,f76a90ad6dbe63d4d15ea50edf03f991846a7eb0498ed017a34b17e249d30b58,3335004885,2026-09-05 06:02:54,"planner: goal-map head (pickcube gmappeakNC and stack gmapdcc banks of the Full Goal Interface row)","runs/mix5_t2k_gmap/run.json provenance (argv, git ba7de4d2af700d4d4f02a8d2c2f8f8d350751108, env MSGEN_T2K=1 MSGEN_T2K_GMAP=1 MSGEN_T2K_W=0.3 MSGEN_KEEP_ALL_CKPT=1); runs/mix5_t2k_gmap/train.log; dataset data/ds/realcam_t2k_n3000"
<private-repo>/assets_ckpt/Generalist/tracegen_model.pth,f595ad249cbd59ce3939c4be17883f948d8b102cff5f2db97ae06011b17a76ca,3298417876,2026-06-27 12:48:58,warm start of mix4_realcam_n2400 (released TraceGen Generalist),runs/mix4_realcam_n2400/run.json key warm_start
<private-repo>/runs_rl/mt5_rcfz_gmpc_s0/student.pt,50467d34909e0d82041f72230575347c4c6ce7bd71c2345fa94c3c7cb76a378b,3239060,2026-09-07 07:25:23,"executor: paper student (Table II); executor of every 2026-09-12 ladder / perturbation / sanity cell; Arm B (episode-fixed) of the episode-matched ablation; loaded by multi_eval --ckpt final","<private-repo>/experiments/20260906_batch/batch_chain.sh:62-81 (MSPPO_FROZEN_INJECT=1, seed 0, 40000 it, 320 envs); log <private-repo>/experiments/20260906_batch/mt5_rcfz_gmpc_s0.log; runs_rl/mt5_rcfz_gmpc_s0/run.json; runs_rl/mt5_rcfz_gmpc_s0/train.log"
<private-repo>/runs_rl/mt5_rcfz_t2k_s0/student.pt,99aaa1f6eb50ac93d3630574f8da949bea386539e4d2e8028fcd41617083c32e,3239060,2026-09-01 01:05:55,executor: 2026-09-01 production student (all-t2kdcc relbanks),"<private-repo>/experiments/20260831_t2k/mt5_retrain.sh:71-87 (MSPPO_FROZEN_INJECT=1, seed 0, 40000 it, 320 envs); log <private-repo>/experiments/20260831_t2k/mt5_rcfz_t2k_s0.log; runs_rl/mt5_rcfz_t2k_s0/run.json"
<private-repo>/runs_rl/mt5_rciid_gmpc_s0/student.pt,5ed8f4361eb6a676911cf4194577a3e67bf5c78a3bbd10388fb02b69d48800e6,3239060,2026-09-13 01:50:02,executor: Arm A (per-step i.i.d. injection) of the episode-matched ablation,"<private-repo>/experiments/20260912_goal_causal/episode_match/run_episode_match.sh (MSPPO_IID_INJECT=1 + patch_iid_inject.py, seed 0, 40000 it, 320 envs); log <private-repo>/experiments/20260912_goal_causal/episode_match/train_logs/mt5_rciid_gmpc_s0.log; runs_rl/mt5_rciid_gmpc_s0/run.json"
<private-repo>/experiments/20260912_goal_causal/episode_match/checkpoints/student.pt,5ed8f4361eb6a676911cf4194577a3e67bf5c78a3bbd10388fb02b69d48800e6,3239060,2026-09-13 01:50:04,byte-identical copy of runs_rl/mt5_rciid_gmpc_s0/student.pt (same sha256),run_episode_match.sh copy step
<private-repo>/runs_rl/pc_v9_nz_s0/agent.pt,702259e46a7ce08b171cce42b9cd82dd80f9da0527bebff432993c976fb35b61,4052398,2026-08-30 18:12:12,teacher PickCube (loaded by multi_distill.py:94 for all three students),runs_rl/pc_v9_nz_s0/run.json (seed 0; init_from runs_rl/pc_v9_frame4_s0_padsig/agent.pt; 12M steps; 1024 envs); runs_rl/pc_v9_nz_s0/train.log
<private-repo>/runs_rl/lp_v9_nz_s0/agent.pt,b3449a618fdf5e2107236e4284d7dbb62999d4262f80c3db4c0534b114a62cd6,4011438,2026-08-30 18:38:49,teacher LiftPegUpright (loaded by multi_distill.py:94),runs_rl/lp_v9_nz_s0/run.json (seed 0; init_from runs_rl/lp_v9_frame_s0_padsig/agent.pt; 12M steps; 256 envs); runs_rl/lp_v9_nz_s0/train.log
<private-repo>/runs_rl/pi_v9_frame4_s0/agent.pt,ef0559ebcfdc9c4288e105715282ad7ddc4804f9b0e22a2bcf3d00b0e20f5c53,4056494,2026-08-30 16:46:49,teacher PegInsertionSide (loaded by multi_distill.py:94),runs_rl/pi_v9_frame4_s0/run.json (seed 0; init_from runs_rl/pi_v5_hi_s0/agent.pt; 8M steps; 1024 envs); runs_rl/pi_v9_frame4_s0/train.log
<private-repo>/runs_rl/sc_v9_nz03b_s0/agent.pt,fd8ef9911d8e153da2598364791f6a6ce3c63780cdf3c09fea120a4663888f24,3995054,2026-08-30 18:49:57,teacher StackCube (loaded by multi_distill.py:94; robot panda_wristcam),runs_rl/sc_v9_nz03b_s0/run.json (seed 0; init_from runs_rl/sc_v9_frame_s0_padsig/agent.pt; w_bump 0.3; 12M steps; 1024 envs); runs_rl/sc_v9_nz03b_s0/train.log
<private-repo>/runs_rl/push_v9_nz_s0/agent.pt,34c0175e65cbe84b021dca2a95eb63314139301460aaae8b7ff7270edc32037b,4023726,2026-08-31 18:00:45,teacher PushCube (loaded by multi_distill.py:94),runs_rl/push_v9_nz_s0/run.json (seed 0; init_from runs_rl/push_kp_s0_psipad_padsig/agent.pt; 12M steps; 1024 envs); runs_rl/push_v9_nz_s0/train.log
